Date,New Prod
2008-08-24,698.0
2008-08-25,671.0
2008-08-26,666.0
2008-08-27,648.0
2008-08-28,623.0
2008-08-29,741.0
2008-08-30,848.0
2008-08-31,907.0
2008-09-01,1086.0
2008-09-02,1100.0
2008-09-03,1150.0
2008-09-04,1152.0
2008-09-05,946.0
2008-09-06,1040.0
2008-09-07,931.0
2008-09-08,880.0
2008-09-09,910.0
2008-09-10,954.0
2008-09-11,821.0
2008-09-12,737.0
2008-09-13,762.0
2008-09-14,820.0
2008-09-15,895.0
2008-09-16,917.0
2008-09-17,928.0
2008-09-18,948.0
2008-09-19,962.0
2008-09-20,912.0
2008-09-21,783.0
2008-09-22,642.0
2008-09-23,695.0
2008-09-24,660.0
2008-09-25,755.0
2008-09-26,811.0
2008-09-27,670.0
2008-09-28,648.0
2008-09-29,640.0
2008-09-30,511.0
2008-10-01,675.0
2008-10-02,492.0
2008-10-03,495.0
2008-10-04,520.0
2008-10-05,499.0
2008-10-06,465.0
2008-10-07,410.0
2008-10-08,378.0
2008-10-09,769.0
2008-10-10,556.0
2008-10-11,587.0
2008-10-12,608.0
2008-10-13,725.0
2008-10-14,790.0
2008-10-15,510.0
2008-10-16,445.0
2008-10-17,424.0
2008-10-18,315.0
2008-10-19,352.0
2008-10-20,527.0
2008-10-21,490.0
2008-10-22,512.0
2008-10-23,428.0
2008-10-24,531.0
2008-10-25,548.0
2008-10-26,585.0
2008-10-27,461.0
2008-10-28,538.0
2008-10-29,504.0
2008-10-30,477.0
2008-10-31,509.0
2008-11-01,581.0
2008-11-02,683.0
2008-11-03,479.0
2008-11-04,512.0
2008-11-05,530.0
2008-11-06,404.0
2008-11-07,374.0
2008-11-08,332.0
2008-11-09,324.0
2008-11-10,324.0
2008-11-11,557.0
2008-11-12,499.0
2008-11-13,443.0
2008-11-14,422.0
2008-11-15,410.0
2008-11-16,453.0
2008-11-17,442.0
2008-11-18,399.0
2008-11-19,395.0
2008-11-20,466.0
2008-11-21,764.0
2008-11-22,583.0
2008-11-23,356.0
2008-11-24,327.0
2008-11-25,312.0
2008-11-26,276.0
2008-11-27,197.0
2008-11-28,189.0
2008-11-29,187.0
2008-11-30,258.0
2008-12-01,343.0
2008-12-02,372.0
2008-12-03,421.0
2008-12-04,493.0
2008-12-05,539.0
2008-12-06,546.0
2008-12-07,562.0
2008-12-08,540.0
2008-12-09,534.0
2008-12-10,556.0
2008-12-11,544.0
2008-12-12,514.0
2008-12-13,508.0
2008-12-14,499.0
2008-12-15,534.0
2008-12-16,451.0
2008-12-17,501.0
2008-12-18,440.0
2008-12-19,418.0
2008-12-20,868.0
2008-12-21,1093.0
2008-12-22,874.0
2008-12-23,849.0
2008-12-24,838.0
2008-12-25,848.0
2008-12-26,882.0
2008-12-27,973.0
2008-12-28,978.0
2008-12-29,933.0
2008-12-30,1031.0
2008-12-31,925.0
2009-01-01,1011.0
2009-01-02,869.0
